text,label
Experienced Python developer with FastAPI and SQL.,Resume
Built React applications using JavaScript and HTML.,Resume

Abstract This paper proposes a transformer architecture for NLP.,Research Paper
We evaluate our model on benchmark datasets.,Research Paper

Invoice Number INV-1001 Total Amount 2500.,Invoice
Payment Due Date and Billing Address.,Invoice

This legal agreement is entered into by both parties.,Legal Document
The contract shall remain valid for one year.,Legal Document

Patient diagnosis includes hypertension and diabetes.,Medical Report
Prescription includes antibiotics and rest.,Medical Report

Quarterly revenue increased by 18 percent.,Financial Report
Annual balance sheet and income statement.,Financial Report
